categoria,cantidad,delegacion
"Áreas verdes complementarias o ligadas a la red vial",215,"Álvaro Obregón"
"Parques, arboledas y alamedas",43,"Álvaro Obregón"
"Equipamientos urbanos con vegetación",46,"Álvaro Obregón"
"Áreas verdes urbanas fragmentadas",4,"Álvaro Obregón"
"Plazas y jardines",3,"Álvaro Obregón"
"Áreas con vegetación reminisciente",11,"Álvaro Obregón"
"Áreas verdes con estructura urbana",1,"Álvaro Obregón"
"Equipamientos urbanos con vegetación",157,Azcapotzalco
"Áreas verdes complementarias o ligadas a la red vial",208,Azcapotzalco
"Áreas verdes urbanas fragmentadas",12,Azcapotzalco
"Parques, arboledas y alamedas",37,Azcapotzalco
"Plazas y jardines",8,Azcapotzalco
"Áreas verdes complementarias o ligadas a la red vial",177,"Benito Juárez"
"Parques, arboledas y alamedas",14,"Benito Juárez"
"Plazas y jardines",3,"Benito Juárez"
"Equipamientos urbanos con vegetación",8,"Benito Juárez"
"Equipamientos urbanos con vegetación",294,Coyoacán
"Áreas verdes complementarias o ligadas a la red vial",343,Coyoacán
"Plazas y jardines",51,Coyoacán
"Parques, arboledas y alamedas",114,Coyoacán
"Áreas verdes urbanas fragmentadas",3,Coyoacán
"Áreas con categoría de protección",10,Coyoacán
"Áreas verdes con estructura urbana",1,Coyoacán
"Equipamientos urbanos con vegetación",86,"Cuajimalpa de Morelos"
"Áreas verdes urbanas fragmentadas",11,"Cuajimalpa de Morelos"
"Áreas verdes complementarias o ligadas a la red vial",91,"Cuajimalpa de Morelos"
"Parques, arboledas y alamedas",11,"Cuajimalpa de Morelos"
"Áreas con vegetación reminisciente",7,"Cuajimalpa de Morelos"
"Plazas y jardines",1,"Cuajimalpa de Morelos"
"Equipamientos urbanos con vegetación",24,Cuauhtémoc
"Áreas verdes complementarias o ligadas a la red vial",170,Cuauhtémoc
"Áreas verdes urbanas fragmentadas",33,Cuauhtémoc
"Plazas y jardines",17,Cuauhtémoc
"Parques, arboledas y alamedas",29,Cuauhtémoc
"Áreas verdes con estructura urbana",1,Cuauhtémoc
"Equipamientos urbanos con vegetación",59,"Gustavo A. Madero"
"Áreas verdes complementarias o ligadas a la red vial",198,"Gustavo A. Madero"
"Áreas verdes urbanas fragmentadas",19,"Gustavo A. Madero"
"Parques, arboledas y alamedas",75,"Gustavo A. Madero"
"Áreas verdes con estructura urbana",2,"Gustavo A. Madero"
"Plazas y jardines",2,"Gustavo A. Madero"
"Equipamientos urbanos con vegetación",97,Iztacalco
"Áreas verdes complementarias o ligadas a la red vial",75,Iztacalco
"Parques, arboledas y alamedas",10,Iztacalco
"Plazas y jardines",6,Iztacalco
"Áreas verdes con estructura urbana",1,Iztacalco
"Equipamientos urbanos con vegetación",449,Iztapalapa
"Parques, arboledas y alamedas",217,Iztapalapa
"Áreas verdes complementarias o ligadas a la red vial",282,Iztapalapa
"Áreas verdes urbanas fragmentadas",29,Iztapalapa
"Plazas y jardines",10,Iztapalapa
"Áreas verdes con estructura urbana",2,Iztapalapa
"Áreas con vegetación reminisciente",4,Iztapalapa
"Equipamientos urbanos con vegetación",55,"Magdalena Contreras"
"Áreas verdes complementarias o ligadas a la red vial",21,"Magdalena Contreras"
"Parques, arboledas y alamedas",12,"Magdalena Contreras"
"Áreas con vegetación reminisciente",5,"Magdalena Contreras"
"Áreas verdes urbanas fragmentadas",3,"Magdalena Contreras"
"Parques, arboledas y alamedas",29,"Miguel Hidalgo"
"Áreas verdes complementarias o ligadas a la red vial",301,"Miguel Hidalgo"
"Equipamientos urbanos con vegetación",97,"Miguel Hidalgo"
"Plazas y jardines",5,"Miguel Hidalgo"
"Áreas verdes con estructura urbana",1,"Miguel Hidalgo"
"Áreas verdes urbanas fragmentadas",1,"Miguel Hidalgo"
"Áreas con vegetación reminisciente",4,"Miguel Hidalgo"
"Áreas verdes complementarias o ligadas a la red vial",5,"Milpa Alta"
"Equipamientos urbanos con vegetación",40,"Milpa Alta"
"Plazas y jardines",6,"Milpa Alta"
"Parques, arboledas y alamedas",1,"Milpa Alta"
"Áreas verdes complementarias o ligadas a la red vial",146,Tláhuac
"Equipamientos urbanos con vegetación",58,Tláhuac
"Parques, arboledas y alamedas",52,Tláhuac
"Áreas verdes urbanas fragmentadas",11,Tláhuac
"Plazas y jardines",2,Tláhuac
"Áreas verdes con estructura urbana",3,Tláhuac
"Áreas verdes complementarias o ligadas a la red vial",330,Tlalpan
"Equipamientos urbanos con vegetación",60,Tlalpan
"Parques, arboledas y alamedas",42,Tlalpan
"Áreas verdes con estructura urbana",2,Tlalpan
"Áreas verdes urbanas fragmentadas",4,Tlalpan
"Áreas con categoría de protección",4,Tlalpan
"Áreas con vegetación reminisciente",3,Tlalpan
"Plazas y jardines",1,Tlalpan
"Equipamientos urbanos con vegetación",136,"Venustiano Carranza"
"Áreas verdes complementarias o ligadas a la red vial",144,"Venustiano Carranza"
"Áreas verdes urbanas fragmentadas",9,"Venustiano Carranza"
"Parques, arboledas y alamedas",27,"Venustiano Carranza"
"Plazas y jardines",22,"Venustiano Carranza"
"Áreas verdes complementarias o ligadas a la red vial",47,Xochimilco
"Equipamientos urbanos con vegetación",33,Xochimilco
"Parques, arboledas y alamedas",20,Xochimilco
"Áreas verdes con estructura urbana",2,Xochimilco
"Plazas y jardines",1,Xochimilco
"Áreas verdes urbanas fragmentadas",4,Xochimilco
"Áreas con categoría de protección",2,Xochimilco
